,Total Run Score,Total Discards Used,Total Cards Played,Best Hand Score,Hand played for Best Hand Score,Rounds Won,Rounds Played,Antes Won,Run Average Score,Average Discards,Flush Count,Four of a Kind Count,Full House Count,High Card Count,Pair Count,Straight Count,Straight Flush Count,Three of a Kind Count,Two Pair Count
0,1784.0,5.0,53.0,368,Full House,3,4,1,594.7,1.7,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,9.0
0,308.0,1.0,21.0,308,Straight,1,2,0,308.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
0,1649.0,8.0,49.0,316,Straight,3,4,1,549.7,2.7,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,3.0
0,829.0,3.0,23.0,324,Straight,2,3,0,414.5,1.5,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0
0,1681.0,3.0,52.0,292,Flush,3,4,1,560.3,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0
0,2864.0,5.0,76.0,332,Full House,4,5,1,716.0,1.2,0.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,5.0
0,388.0,1.0,21.0,324,Straight,1,2,0,388.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0
0,888.0,2.0,34.0,352,Full House,2,3,0,444.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
0,1764.0,3.0,61.0,316,Straight,3,4,1,588.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0
0,2344.0,4.0,55.0,700,Four of a Kind,3,4,1,781.3,1.3,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,6.0
0,2576.0,8.0,63.0,372,Full House,4,5,1,644.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,4.0
0,1659.0,5.0,38.0,316,Flush,3,4,1,553.0,1.7,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0
0,1404.0,5.0,53.0,324,Straight,3,4,1,468.0,1.7,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,7.0
0,2696.0,7.0,69.0,360,Full House,4,5,1,674.0,1.8,3.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,5.0
0,384.0,1.0,27.0,124,Two Pair,1,2,0,384.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0,444.0,0.0,16.0,320,Full House,1,2,0,444.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
0,1164.0,3.0,40.0,368,Full House,2,3,0,582.0,1.5,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
0,2908.0,7.0,70.0,372,Full House,4,5,1,727.0,1.8,2.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,4.0
0,1980.0,5.0,54.0,372,Full House,3,4,1,660.0,1.7,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0
0,1784.0,6.0,57.0,360,Full House,3,4,1,594.7,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0
0,2585.0,6.0,66.0,328,Full House,4,5,1,646.2,1.5,4.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,4.0
